STDEV,Strain,DESeq
NCU01483,NCU01483,NCU01483
NCU08851,NCU08851,NCU05763
NCU16405,NCU16419,NCU08851
NCU03233,NCU04961,NCU16405
NCU16419,NCU11337,NCU16419
NCU05772,NCU02876,NCU05772
NCU01828,NCU03753,NCU04961
NCU16537,NCU05490,NCU11337
NCU04961,NCU16834,NCU08093
NCU11337,NCU06890,NCU10069
NCU08093,NCU05286,NCU00365
NCU10069,NCU04148,NCU02876
NCU00365,NCU00031,NCU03753
NCU09351,NCU09630,NCU05490
NCU02876,NCU07696,NCU16834
NCU11349,NCU07439,NCU06890
NCU03753,NCU03558,NCU05286
NCU05490,NCU00878,NCU04148
NCU04114,NCU00534,NCU09650
NCU10897,NCU06641,NCU00031
NCU16834,NCU08677,NCU09630
NCU06890,NCU03340,NCU07696
NCU05286,NCU16455,NCU07439
NCU11216,NCU16445,NCU03400
NCU04148,NCU07344,NCU03558
NCU00031,NCU11210,NCU07507
NCU00160,NCU07142,NCU00878
NCU09630,NCU10591,NCU02602
NCU07696,NCU04266,NCU05351
NCU07439,NCU16844,NCU00534
NCU03400,NCU01064,NCU06641
NCU03558,NCU16374,NCU00607
NCU07507,NCU08770,NCU08677
NCU16378,NCU01313,NCU03340
NCU00878,NCU02807,NCU16455
NCU02602,NCU05148,NCU03603
NCU05351,NCU06597,NCU16960
NCU00534,NCU06682,NCU00745
NCU06641,NCU08657,NCU16445
NCU00607,NCU06346,NCU07344
NCU08677,NCU16353,NCU00781
NCU03340,NCU06128,NCU11210
NCU16455,NCU17188,NCU07142
NCU03603,NCU07783,NCU10591
NCU01436,NCU16856,NCU04266
NCU06741,NCU07555,NCU16844
NCU00745,NCU04334,NCU08014
NCU06797,NCU16583,NCU01064
NCU16445,NCU07921,NCU16374
NCU07325,NCU07808,NCU08770
NCU06244,NCU04502,NCU03180
NCU04781,NCU09344,NCU01313
NCU07344,NCU16940,NCU08321
NCU11210,NCU04284,NCU02807
NCU07142,NCU08457,NCU05148
NCU05786,NCU05948,NCU16649
NCU10591,NCU05652,NCU08843
NCU08635,NCU01308,NCU09289
NCU04266,NCU05512,NCU06597
NCU16844,NCU01299,NCU05788
NCU08014,NCU07382,NCU06682
NCU01064,NCU02765,NCU00011
NCU16374,NCU16819,NCU08657
NCU08770,NCU00527,NCU06346
NCU09002,NCU08037,NCU02132
NCU06495,NCU09222,NCU16353
NCU03180,NCU05119,NCU06128
NCU01313,NCU05506,NCU09766
NCU07323,NCU11323,NCU17188
NCU02807,NCU07449,NCU07783
NCU05148,NCU03306,NCU16856
NCU09289,NCU16905,NCU07555
NCU06597,NCU04213,NCU04334
NCU04879,NCU05058,NCU16583
NCU16741,NCU16997,NCU07921
NCU11258,NCU05844,NCU07808
NCU16825,NCU17073,NCU04502
NCU06682,NCU08940,NCU09344
NCU00011,NCU01314,NCU08947
NCU08657,NCU04197,NCU16468
NCU06346,NCU07424,NCU16940
NCU05220,NCU16446,NCU04284
NCU16353,NCU03780,NCU01808
NCU06128,NCU02453,NCU02574
NCU09766,NCU05731,NCU17014
NCU17051,NCU17113,NCU04162
NCU17188,NCU02016,NCU17230
NCU07783,NCU16939,NCU08457
NCU07057,NCU03516,NCU05948
NCU16802,NCU06653,NCU16553
NCU16856,NCU04030,NCU05652
NCU07555,NCU02843,NCU07396
NCU04334,NCU05170,NCU16754
NCU09251,NCU01686,NCU01308
NCU16583,NCU08017,NCU09396
NCU07921,NCU01060,NCU05495
NCU17067,NCU04605,NCU16876
NCU07808,NCU10226,NCU05570
NCU04502,NCU01127,NCU05512
NCU16991,NCU07237,NCU16611
NCU09344,NCU07549,NCU06794
NCU08947,NCU02938,NCU07009
NCU16468,NCU04314,NCU01299
NCU16940,NCU03638,NCU07382
NCU04284,NCU07337,NCU03373
NCU01808,NCU03334,NCU06107
NCU17014,NCU02596,NCU00013
NCU17230,NCU11253,NCU02765
NCU08457,NCU07613,NCU16819
NCU05948,NCU17043,NCU00527
NCU16553,NCU09714,NCU08037
NCU05652,NCU02250,NCU09222
NCU02317,NCU03807,NCU05119
NCU00211,NCU05084,NCU04082
NCU07396,NCU00603,NCU07758
NCU16754,NCU03157,NCU04175
NCU00343,NCU01432,NCU05506
NCU01308,NCU06201,NCU11323
NCU09396,NCU00033,NCU07449
NCU03008,NCU00456,NCU03306
NCU05495,NCU05313,NCU16905
NCU16876,NCU12052,NCU04213
