Protein,Prediction,SP(Sec/SPI),OTHER,CS Position
AN5093,OTHER,0.00099,0.9990100000000001,
AN5092,OTHER,0.00091,0.9990899999999999,
AN12284,OTHER,0.003075,0.996925,
AN5091,OTHER,0.004123,0.995877,
AN5090,OTHER,0.004475,0.995525,
AN5089,OTHER,0.0008470000000000001,0.9991530000000001,
AN10630,OTHER,0.001026,0.998974,
AN5088,OTHER,0.001008,0.998992,
AN5087,OTHER,0.001508,0.998492,
AN5086,OTHER,0.001363,0.9986370000000001,
AN10628,OTHER,0.0010630000000000001,0.9989370000000001,
AN10629,OTHER,0.013058000000000002,0.986942,
AN10626,OTHER,0.000281,0.999719,
AN10631,OTHER,0.000554,0.999446,
AN5083,OTHER,0.000603,0.999397,
AN5082,OTHER,0.000859,0.999141,
AN5081,OTHER,0.0057090000000000005,0.994291,
AN12281,OTHER,0.018580000000000003,0.9814200000000001,
AN10625,OTHER,0.001213,0.9987870000000001,
AN10627,OTHER,0.006285,0.993715,
AN5079,OTHER,0.003871,0.996129,
AN5078,OTHER,0.007176999999999999,0.992823,
AN12280,OTHER,0.003943,0.996057,
AN12279,SP(Sec/SPI),0.879841,0.12015899999999999,CS pos: 22-23. ASG-RH. Pr: 0.3187
AN5076,SP(Sec/SPI),0.9970379999999999,0.0029620000000000002,CS pos: 18-19. ANA-DC. Pr: 0.9323
AN5075,OTHER,0.006947,0.9930530000000001,
AN5074,OTHER,0.001017,0.998983,
AN5073,OTHER,0.000843,0.999157,
AN5072,OTHER,0.0023940000000000003,0.997606,
AN5071,OTHER,0.000522,0.9994780000000001,
AN5070,OTHER,0.00015900000000000002,0.999841,
AN5069,OTHER,0.001467,0.998533,
AN5068,OTHER,0.000481,0.999519,
AN5067,SP(Sec/SPI),0.5349510000000001,0.465049,CS pos: 29-30. GYC-AS. Pr: 0.2760
AN5066,OTHER,0.001004,0.9989959999999999,
AN5065,OTHER,0.00193,0.9980700000000001,
AN5063,OTHER,0.0010689999999999999,0.9989309999999999,
AN5062,OTHER,0.034241,0.965759,
AN5061,SP(Sec/SPI),0.9755459999999999,0.024454,CS pos: 22-23. AYS-AA. Pr: 0.5380
AN11457,OTHER,0.0017579999999999998,0.998242,
AN5060,OTHER,0.001114,0.998886,
AN5059,OTHER,0.003116,0.996884,
AN12398,OTHER,0.22761599999999999,0.772384,
AN12397,OTHER,0.100967,0.899033,
AN5057,OTHER,0.002134,0.997866,
AN5056,OTHER,0.000426,0.999574,
AN11456,OTHER,0.01037,0.9896299999999999,
AN5055,OTHER,0.0018809999999999999,0.9981190000000001,
AN12396,OTHER,0.0008810000000000001,0.9991190000000001,
AN5054,OTHER,0.0014550000000000001,0.9985450000000001,
AN5053,OTHER,0.0024,0.9976,
AN5052,OTHER,0.001356,0.9986440000000001,
AN5051,OTHER,0.005326,0.994674,
AN5050,OTHER,0.403486,0.596514,
AN5049,OTHER,0.00042800000000000005,0.9995719999999999,
AN5048,OTHER,0.00042,0.9995799999999999,
AN5047,OTHER,0.001559,0.998441,
AN5046,SP(Sec/SPI),0.9986940000000001,0.001306,CS pos: 20-21. TFA-AP. Pr: 0.7953
AN10613,SP(Sec/SPI),0.52845,0.47155,CS pos: 23-24. TKG-RR. Pr: 0.3022
AN10624,OTHER,0.0055439999999999994,0.9944559999999999,
AN5044,OTHER,0.000843,0.999157,
AN10623,OTHER,0.0020239999999999998,0.997976,
AN10612,OTHER,0.0023870000000000002,0.997613,
AN5041,OTHER,0.001025,0.998975,
AN5040,OTHER,0.004719,0.995281,
AN5039,OTHER,0.004218,0.995782,
AN5038,OTHER,0.002241,0.9977590000000001,
AN11455,OTHER,0.00161,0.99839,
AN5037,OTHER,0.000816,0.999184,
AN11780,OTHER,0.012376,0.987624,
AN5036,OTHER,0.009487,0.9905129999999999,
AN5035,OTHER,0.0049380000000000005,0.9950620000000001,
AN5034,OTHER,0.0018690000000000002,0.998131,
AN5033,OTHER,0.024738999999999997,0.975261,
AN5032,OTHER,0.001529,0.9984709999999999,
AN5031,OTHER,0.17717,0.82283,
AN5030,OTHER,0.001338,0.998662,
AN5029,OTHER,0.321892,0.678108,
AN5028,OTHER,0.000306,0.9996940000000001,
AN11779,SP(Sec/SPI),0.521712,0.478288,CS pos: 20-21. SCA-QR. Pr: 0.2907
AN5027,OTHER,0.0014609999999999998,0.998539,
AN5026,OTHER,0.00132,0.9986799999999999,
AN5025,OTHER,0.067474,0.9325260000000001,
AN5024,OTHER,0.000683,0.999317,
AN5023,OTHER,0.053795,0.946205,
AN5022,OTHER,0.0008699999999999999,0.99913,
AN5021,OTHER,0.001059,0.998941,
AN5020,OTHER,0.005327,0.9946729999999999,
AN5019,OTHER,0.0007650000000000001,0.999235,
AN5018,OTHER,0.005494,0.994506,
AN5017,OTHER,0.0009460000000000001,0.9990540000000001,
AN5016,SP(Sec/SPI),0.984806,0.015194,CS pos: 17-18. ISA-TS. Pr: 0.5320
AN5015,OTHER,0.000248,0.9997520000000001,
AN5014,OTHER,0.000591,0.999409,
AN5013,OTHER,0.00144,0.99856,
AN11778,SP(Sec/SPI),0.9843370000000001,0.015663,CS pos: 24-25. SAP-GP. Pr: 0.4091
AN11777,OTHER,0.009923999999999999,0.9900760000000001,
AN5011,OTHER,0.004821,0.995179,
AN5010,OTHER,0.0017699999999999999,0.99823,
AN11776,OTHER,0.003426,0.996574,
AN5009,OTHER,0.0019420000000000001,0.998058,
AN5008,OTHER,0.0015609999999999999,0.998439,
AN11775,OTHER,0.003016,0.996984,
AN5007,OTHER,0.0017760000000000002,0.998224,
AN10611,OTHER,0.000808,0.999192,
AN10621,OTHER,0.001102,0.998898,
AN5005,OTHER,0.000611,0.999389,
AN5004,OTHER,0.012740000000000001,0.98726,
AN5003,OTHER,0.000781,0.9992190000000001,
AN5002,OTHER,0.002595,0.9974049999999999,
AN11774,OTHER,0.0007070000000000001,0.999293,
AN11773,OTHER,0.00101,0.9989899999999999,
AN10622,OTHER,0.0006219999999999999,0.9993780000000001,
