#proteinId	iprId	iprDesc	domainDb	domainId	domainDesc	numHits	domainStarts	domainEnds	score
2	IPR011545	DNA/RNA helicase, DEAD/DEAH box type, N-terminal	HMMPfam	PF00270	DEAD	1	917,	1072,	2.4e-15
2	IPR001650	DNA/RNA helicase, C-terminal	HMMPfam	PF00271	Helicase_C	1	1150,	1224,	5e-19
2	IPR014001	DEAD-like helicase, N-terminal	HMMSmart	SM00487	no description	1	912,	1100,	5.7e-18
2	IPR001650	DNA/RNA helicase, C-terminal	HMMSmart	SM00490	no description	1	1150,	1224,	4.8e-16
2	IPR014021	Helicase, superfamily 1 and 2, ATP-binding	ProfileScan	PS51192	HELICASE_ATP_BIND_1	1	925,	1084,	16.011
2	IPR001650	DNA/RNA helicase, C-terminal	ProfileScan	PS51194	HELICASE_CTER	1	1126,	1266,	13.372
3	IPR002110	Ankyrin	HMMPfam	PF00023	Ank	2	37,69,	64,97,	0.029,0.00061
3	IPR002110	Ankyrin	HMMSmart	SM00248	no description	2	32,65,	61,94,	6.8e+02,0.37
3	IPR002110	Ankyrin	ProfileScan	PS50088	ANK_REPEAT	1	65,	97,	9.912
3	IPR002110	Ankyrin	ProfileScan	PS50297	ANK_REP_REGION	1	32,	97,	14.822
3	IPR002110	Ankyrin	superfamily	SSF48403	Ankyrin repeat	1	37,	95,	5.4e-11
4	IPR013216	Methyltransferase type 11	HMMPfam	PF08241	Methyltransf_11	1	99,	190,	7.9e-14
7	IPR004254	Hly-III related proteins	HMMPfam	PF03006	HlyIII	1	37,	261,	6.6e-53
8	IPR001757	ATPase, P-type, K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporter	FPrintScan	PR00119	CATATPASE	6	428,609,835,857,937,961,	442,623,846,867,956,973,	4.5e-33,4.5e-33,4.5e-33,4.5e-33,4.5e-33,4.5e-33
8	IPR000695	H+ transporting ATPase, proton pump	FPrintScan	PR00120	HATPASE	3	784,937,969,	802,953,994,	5.8e-11,5.8e-11,5.8e-11
8	IPR008250	E1-E2 ATPase-associated region	HMMPfam	PF00122	E1-E2_ATPase	1	348,	601,	1.6e-50
8	IPR006068	ATPase, P-type cation-transporter, C-terminal	HMMPfam	PF00689	Cation_ATPase_C	1	1058,	1201,	5.1e-12
8	IPR004014	ATPase, P-type cation-transporter, N-terminal	HMMPfam	PF00690	Cation_ATPase_N	1	265,	332,	2.7e-05
8	IPR005834	Haloacid dehalogenase-like hydrolase	HMMPfam	PF00702	Hydrolase	1	605,	960,	2.1e-17
8	IPR001757	ATPase, P-type, K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporter	HMMTigr	TIGR01494	ATPase_P-type: ATPase, P-type (transpor	4	348,552,829,908,	442,635,882,1028,	1.4e-17,5.1e-21,1e-17,1.2e-35
8	IPR006408	Calcium-translocating P-type ATPase, PMCA-type	HMMTigr	TIGR01517	ATPase-IIB_Ca: calcium-translocating P-	1	182,	1200,	0
8	IPR001757	ATPase, P-type, K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporter	ScanRegExp	PS00154	ATPASE_E1_E2	1	611,	617,	NA
11	IPR001862	Membrane attack complex component/perforin/complement C9	HMMSmart	SM00457	no description	1	126,	320,	5.9e-56
13	IPR000194	ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding	HMMPfam	PF00006	ATP-synt_ab	1	200,	424,	9.4e-127
13	IPR000793	ATPase, F1/V1/A1 complex, alpha/beta subunit, C-terminal	HMMPfam	PF00306	ATP-synt_ab_C	1	436,	540,	4.9e-35
13	IPR004100	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal	HMMPfam	PF02874	ATP-synt_ab_N	1	76,	144,	3.9e-11
13	IPR005294	ATPase, F1 complex, alpha subunit	HMMTigr	TIGR00962	atpA: ATP synthase F1, alpha subunit	1	54,	562,	0
13	IPR000194	ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding	ScanRegExp	PS00152	ATPASE_ALPHA_BETA	1	415,	424,	8e-5
13	IPR000793	ATPase, F1/V1/A1 complex, alpha/beta subunit, C-terminal	superfamily	SSF47917	C-terminal domain of alpha and beta subunits of F1 ATP synthase	1	432,	560,	1.8e-45
13	IPR004100	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal	superfamily	SSF50615	N-terminal domain of alpha and beta subunits of F1 ATP synthase	1	61,	146,	2.5e-26
14	IPR015301	Protein of unknown function DUF1960	HMMPfam	PF09219	DUF1960	1	10,	104,	1.4e-43
15	IPR002490	ATPase, V0/A0 complex, 116-kDa subunit	HMMPfam	PF01496	V_ATPase_I	1	29,	780,	2.3e-205
16	IPR000217	Tubulin	FPrintScan	PR01161	TUBULIN	2	121,327,	141,354,	1.3e-11,1.3e-11
16	IPR002452	Alpha tubulin	FPrintScan	PR01162	ALPHATUBULIN	3	143,307,332,	155,326,348,	2.9e-11,2.9e-11,2.9e-11
16	IPR003008	Tubulin/FtsZ, GTPase	HMMPfam	PF00091	Tubulin	1	123,	175,	8.4e-13
16	IPR008280	Tubulin/FtsZ, C-terminal	HMMPfam	PF03953	Tubulin_C	1	177,	340,	3.6e-34
16	IPR003008	Tubulin/FtsZ, GTPase	superfamily	SSF52490	Tubulin nucleotide-binding domain-like	1	123,	174,	3.7e-10
16	IPR008280	Tubulin/FtsZ, C-terminal	superfamily	SSF55307	Tubulin C-terminal domain-like	1	175,	352,	7.6e-44
19	IPR002156	Ribonuclease H	HMMPfam	PF00075	RnaseH	1	180,	311,	1e-21
19	IPR002156	Ribonuclease H	ProfileScan	PS50879	RNASE_H	1	179,	312,	19.118
19	IPR012337	Polynucleotidyl transferase, Ribonuclease H fold	superfamily	SSF53098	Ribonuclease H-like	1	168,	315,	2.3e-23
20	IPR000217	Tubulin	FPrintScan	PR01161	TUBULIN	7	39,81,117,136,161,175,363,	58,92,135,157,174,195,390,	7.3e-58,7.3e-58,7.3e-58,7.3e-58,7.3e-58,7.3e-58,7.3e-58
20	IPR002452	Alpha tubulin	FPrintScan	PR01162	ALPHATUBULIN	11	3,31,74,131,144,197,257,304,330,343,368,	18,44,87,143,155,209,272,325,343,362,384,	9e-57,9e-57,9e-57,9e-57,9e-57,9e-57,9e-57,9e-57,9e-57,9e-57,9e-57
20	IPR003008	Tubulin/FtsZ, GTPase	HMMPfam	PF00091	Tubulin	1	33,	229,	1.8e-82
20	IPR008280	Tubulin/FtsZ, C-terminal	HMMPfam	PF03953	Tubulin_C	1	231,	376,	3.2e-48
20	IPR000217	Tubulin	ScanRegExp	PS00227	TUBULIN	1	125,	131,	NA
20	IPR003008	Tubulin/FtsZ, GTPase	superfamily	SSF52490	Tubulin nucleotide-binding domain-like	1	1,	228,	1e-76
20	IPR008280	Tubulin/FtsZ, C-terminal	superfamily	SSF55307	Tubulin C-terminal domain-like	1	229,	388,	2.7e-49
22	IPR001092	Basic helix-loop-helix dimerisation region bHLH	HMMPfam	PF00010	HLH	1	143,	232,	1.1e-10
22	IPR001092	Basic helix-loop-helix dimerisation region bHLH	HMMSmart	SM00353	no description	1	148,	237,	2.3e-07
22	IPR001092	Basic helix-loop-helix dimerisation region bHLH	ProfileScan	PS50888	HLH	1	141,	232,	10.197
22	IPR011598	Helix-loop-helix DNA-binding	superfamily	SSF47459	HLH, helix-loop-helix DNA-binding domain	1	140,	264,	2.4e-13
23	IPR001005	SANT, DNA-binding	HMMSmart	SM00717	no description	1	351,	403,	0.00055
23	IPR001005	SANT, DNA-binding	ProfileScan	PS50090	MYB_3	1	347,	401,	11.085
23	IPR009057	Homeodomain-like	superfamily	SSF46689	Homeodomain-like	1	348,	405,	3.3e-06
24	IPR001002	Chitin-binding, type 1	BlastProDom	PD000609	CHIB_POPTR_P29031;	2	56,100,	95,139,	1e-05,2e-08
24	IPR001002	Chitin-binding, type 1	HMMPfam	PF00187	Chitin_bind_1	2	59,98,	95,139,	0.0001,6.2e-13
24	IPR001223	Glycoside hydrolase, family 18, catalytic domain	HMMPfam	PF00704	Glyco_hydro_18	1	153,	495,	7e-85
24	IPR001002	Chitin-binding, type 1	HMMSmart	SM00270	no description	2	61,100,	95,139,	0.00051,1e-11
24	IPR011583	Chitinase II	HMMSmart	SM00636	no description	1	153,	495,	3.4e-91
24	IPR001002	Chitin-binding, type 1	ProfileScan	PS50941	CHIT_BIND_I_2	2	59,98,	97,141,	9.026,9.787
24	IPR001002	Chitin-binding, type 1	ScanRegExp	PS00026	CHIT_BIND_I_1	1	112,	131,	8e-5
24	IPR000169	Peptidase, cysteine peptidase active site	ScanRegExp	PS00139	THIOL_PROTEASE_CYS	1	400,	411,	NA
24	IPR001579	Glycoside hydrolase, chitinase active site	ScanRegExp	PS01095	CHITINASE_18	1	268,	276,	8e-5
24	IPR017853	Glycoside hydrolase, catalytic core	superfamily	SSF51445	(Trans)glycosidases	1	109,	514,	1.2e-85
