#proteinId	gotermId	goName	gotermType	goAcc
2	2175	nucleic acid binding	molecular_function	GO:0003676
2	2792	helicase activity	molecular_function	GO:0004386
2	3736	ATP binding	molecular_function	GO:0005524
2	5716	ATP-dependent helicase activity	molecular_function	GO:0008026
4	5830	metabolic process	biological_process	GO:0008152
4	5846	methyltransferase activity	molecular_function	GO:0008168
7	9321	integral to membrane	cellular_component	GO:0016021
8	3736	ATP binding	molecular_function	GO:0005524
8	8976	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism	molecular_function	GO:0015662
8	9298	proton transport	biological_process	GO:0015992
8	9320	membrane	cellular_component	GO:0016020
8	4927	transport	biological_process	GO:0006810
8	4929	cation transport	biological_process	GO:0006812
8	2290	catalytic activity	molecular_function	GO:0003824
8	5830	metabolic process	biological_process	GO:0008152
8	3670	calcium-transporting ATPase activity	molecular_function	GO:0005388
8	3724	calcium ion binding	molecular_function	GO:0005509
8	4933	calcium ion transport	biological_process	GO:0006816
8	8451	calcium ion transmembrane transporter activity	molecular_function	GO:0015085
8	10015	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances	molecular_function	GO:0016820
13	8445	hydrogen ion transmembrane transporter activity	molecular_function	GO:0015078
13	9691	proton-transporting two-sector ATPase complex	cellular_component	GO:0016469
13	9292	ATP synthesis coupled proton transport	biological_process	GO:0015986
13	21355	hydrogen ion transporting ATP synthase activity, rotational mechanism	molecular_function	GO:0046933
13	21380	hydrogen ion transporting ATPase activity, rotational mechanism	molecular_function	GO:0046961
13	10015	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances	molecular_function	GO:0016820
13	2390	hydrogen-transporting two-sector ATPase activity	molecular_function	GO:0003936
13	19729	proton-transporting ATP synthase complex	cellular_component	GO:0045259
15	9298	proton transport	biological_process	GO:0015992
15	9320	membrane	cellular_component	GO:0016020
15	2390	hydrogen-transporting two-sector ATPase activity	molecular_function	GO:0003936
15	19729	proton-transporting ATP synthase complex	cellular_component	GO:0045259
15	21355	hydrogen ion transporting ATP synthase activity, rotational mechanism	molecular_function	GO:0046933
15	21380	hydrogen ion transporting ATPase activity, rotational mechanism	molecular_function	GO:0046961
16	3737	GTP binding	molecular_function	GO:0005525
16	4050	microtubule	cellular_component	GO:0005874
16	5112	microtubule-based process	biological_process	GO:0007017
16	3530	structural molecule activity	molecular_function	GO:0005198
16	5113	microtubule-based movement	biological_process	GO:0007018
16	18722	protein complex	cellular_component	GO:0043234
16	24507	protein polymerization	biological_process	GO:0051258
16	2378	GTPase activity	molecular_function	GO:0003924
19	2175	nucleic acid binding	molecular_function	GO:0003676
19	2914	ribonuclease H activity	molecular_function	GO:0004523
20	3737	GTP binding	molecular_function	GO:0005525
20	4050	microtubule	cellular_component	GO:0005874
20	5112	microtubule-based process	biological_process	GO:0007017
20	3530	structural molecule activity	molecular_function	GO:0005198
20	5113	microtubule-based movement	biological_process	GO:0007018
20	18722	protein complex	cellular_component	GO:0043234
20	24507	protein polymerization	biological_process	GO:0051258
20	2378	GTPase activity	molecular_function	GO:0003924
22	3838	nucleus	cellular_component	GO:0005634
22	13391	transcription regulator activity	molecular_function	GO:0030528
22	19908	regulation of transcription	biological_process	GO:0045449
23	2176	DNA binding	molecular_function	GO:0003677
24	2635	cysteine-type endopeptidase activity	molecular_function	GO:0004197
24	4639	proteolysis	biological_process	GO:0006508
24	5747	chitin binding	molecular_function	GO:0008061
24	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
24	4143	carbohydrate metabolic process	biological_process	GO:0005975
24	2946	chitinase activity	molecular_function	GO:0004568
24	4200	chitin catabolic process	biological_process	GO:0006032
25	10166	cell wall catabolic process	biological_process	GO:0016998
31	2196	transcription factor activity	molecular_function	GO:0003700
31	3838	nucleus	cellular_component	GO:0005634
31	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
31	5939	zinc ion binding	molecular_function	GO:0008270
34	3642	sugar:hydrogen symporter activity	molecular_function	GO:0005351
34	6276	carbohydrate transport	biological_process	GO:0008643
34	9320	membrane	cellular_component	GO:0016020
34	3546	transporter activity	molecular_function	GO:0005215
34	4927	transport	biological_process	GO:0006810
34	9321	integral to membrane	cellular_component	GO:0016021
34	6356	L-arabinose isomerase activity	molecular_function	GO:0008733
35	2976	peroxidase activity	molecular_function	GO:0004601
35	4283	electron transport	biological_process	GO:0006118
35	5077	response to oxidative stress	biological_process	GO:0006979
35	12251	heme binding	molecular_function	GO:0020037
35	3838	nucleus	cellular_component	GO:0005634
36	2216	RNA binding	molecular_function	GO:0003723
36	2417	RNA-directed DNA polymerase activity	molecular_function	GO:0003964
36	4437	RNA-dependent DNA replication	biological_process	GO:0006278
39	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
39	3782	extracellular region	cellular_component	GO:0005576
39	4143	carbohydrate metabolic process	biological_process	GO:0005975
39	13137	cellulose binding	molecular_function	GO:0030248
45	4604	protein amino acid dephosphorylation	biological_process	GO:0006470
45	5817	protein tyrosine/serine/threonine phosphatase activity	molecular_function	GO:0008138
45	9582	dephosphorylation	biological_process	GO:0016311
45	9988	phosphoric monoester hydrolase activity	molecular_function	GO:0016791
45	3091	protein tyrosine phosphatase activity	molecular_function	GO:0004725
45	3093	prenylated protein tyrosine phosphatase activity	molecular_function	GO:0004727
48	4639	proteolysis	biological_process	GO:0006508
48	5907	metalloexopeptidase activity	molecular_function	GO:0008235
48	2669	methionyl aminopeptidase activity	molecular_function	GO:0004239
49	2290	catalytic activity	molecular_function	GO:0003824
51	5765	N-acetyltransferase activity	molecular_function	GO:0008080
51	5830	metabolic process	biological_process	GO:0008152
52	2196	transcription factor activity	molecular_function	GO:0003700
52	3838	nucleus	cellular_component	GO:0005634
52	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
52	5939	zinc ion binding	molecular_function	GO:0008270
52	2176	DNA binding	molecular_function	GO:0003677
52	4499	transcription	biological_process	GO:0006350
53	3727	protein binding	molecular_function	GO:0005515
53	5939	zinc ion binding	molecular_function	GO:0008270
54	3642	sugar:hydrogen symporter activity	molecular_function	GO:0005351
54	6276	carbohydrate transport	biological_process	GO:0008643
54	9320	membrane	cellular_component	GO:0016020
54	3546	transporter activity	molecular_function	GO:0005215
54	4927	transport	biological_process	GO:0006810
54	9321	integral to membrane	cellular_component	GO:0016021
54	6356	L-arabinose isomerase activity	molecular_function	GO:0008733
55	4929	cation transport	biological_process	GO:0006812
55	5991	cation transmembrane transporter activity	molecular_function	GO:0008324
55	9320	membrane	cellular_component	GO:0016020
58	5054	defense response	biological_process	GO:0006952
59	2888	monooxygenase activity	molecular_function	GO:0004497
59	3721	iron ion binding	molecular_function	GO:0005506
59	4283	electron transport	biological_process	GO:0006118
59	12251	heme binding	molecular_function	GO:0020037
59	10891	fluorene oxygenase activity	molecular_function	GO:0018585
59	10892	mono-butyltin dioxygenase activity	molecular_function	GO:0018586
59	10893	limonene 8-monooxygenase activity	molecular_function	GO:0018587
59	10894	tri-n-butyltin dioxygenase activity	molecular_function	GO:0018588
59	10895	di-n-butyltin dioxygenase activity	molecular_function	GO:0018589
59	10896	methylsilanetriol hydroxylase activity	molecular_function	GO:0018590
59	10897	methyl tertiary butyl ether 3-monooxygenase activity	molecular_function	GO:0018591
59	10898	4-nitrocatechol 4-monooxygenase activity	molecular_function	GO:0018592
59	10899	4-chlorophenoxyacetate monooxygenase activity	molecular_function	GO:0018593
59	10900	tert-butyl alcohol 2-monooxygenase activity	molecular_function	GO:0018594
59	10901	alpha-pinene monooxygenase activity	molecular_function	GO:0018595
59	10902	dimethylsilanediol hydroxylase activity	molecular_function	GO:0018596
59	10903	ammonia monooxygenase activity	molecular_function	GO:0018597
59	10904	hydroxymethylsilanetriol oxidase activity	molecular_function	GO:0018598
59	10905	2-hydroxyisobutyrate 3-monooxygenase activity	molecular_function	GO:0018599
59	10906	alpha-pinene dehydrogenase activity	molecular_function	GO:0018600
59	19287	spheroidene monooxygenase activity	molecular_function	GO:0043823
61	2888	monooxygenase activity	molecular_function	GO:0004497
61	4283	electron transport	biological_process	GO:0006118
61	4851	aromatic compound metabolic process	biological_process	GO:0006725
61	5830	metabolic process	biological_process	GO:0008152
61	9710	oxidoreductase activity	molecular_function	GO:0016491
61	10968	phenol 2-monooxygenase activity	molecular_function	GO:0018662
62	2176	DNA binding	molecular_function	GO:0003677
62	3838	nucleus	cellular_component	GO:0005634
62	4499	transcription	biological_process	GO:0006350
62	5939	zinc ion binding	molecular_function	GO:0008270
63	2290	catalytic activity	molecular_function	GO:0003824
63	5830	metabolic process	biological_process	GO:0008152
63	6332	5-carboxymethyl-2-hydroxymuconate delta-isomerase activity	molecular_function	GO:0008704
64	2175	nucleic acid binding	molecular_function	GO:0003676
64	5846	methyltransferase activity	molecular_function	GO:0008168
64	15094	methylation	biological_process	GO:0032259
64	6667	biosynthetic process	biological_process	GO:0009058
64	9967	transferase activity, transferring nitrogenous groups	molecular_function	GO:0016769
64	13063	pyridoxal phosphate binding	molecular_function	GO:0030170
64	11021	6-aminohexanoate transaminase activity	molecular_function	GO:0018719
64	19210	N2-acetyl-L-lysine aminotransferase activity	molecular_function	GO:0043746
64	19224	acetyldiaminopimelate aminotransferase activity	molecular_function	GO:0043760
64	19304	branched-chain amino acid:2-keto-4-methylthiobutyrate aminotransferase activity	molecular_function	GO:0043840
64	21005	aspartate-2-keto-4-methylthiobutyrate transaminase activity	molecular_function	GO:0046571
69	4283	electron transport	biological_process	GO:0006118
69	9710	oxidoreductase activity	molecular_function	GO:0016491
71	5830	metabolic process	biological_process	GO:0008152
71	9985	hydrolase activity	molecular_function	GO:0016787
72	4993	regulation of pH	biological_process	GO:0006885
72	8649	solute:hydrogen antiporter activity	molecular_function	GO:0015299
72	9321	integral to membrane	cellular_component	GO:0016021
75	5830	metabolic process	biological_process	GO:0008152
75	9940	transferase activity	molecular_function	GO:0016740
76	4265	tricarboxylic acid cycle intermediate metabolic process	biological_process	GO:0006100
76	9710	oxidoreductase activity	molecular_function	GO:0016491
76	4261	glycolysis	biological_process	GO:0006096
76	9823	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	molecular_function	GO:0016616
76	19400	cellular carbohydrate metabolic process	biological_process	GO:0044262
76	4273	malate metabolic process	biological_process	GO:0006108
76	12957	L-malate dehydrogenase activity	molecular_function	GO:0030060
76	2290	catalytic activity	molecular_function	GO:0003824
76	4143	carbohydrate metabolic process	biological_process	GO:0005975
76	3708	binding	molecular_function	GO:0005488
76	5830	metabolic process	biological_process	GO:0008152
77	5830	metabolic process	biological_process	GO:0008152
77	9823	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	molecular_function	GO:0016616
77	24535	NAD binding	molecular_function	GO:0051287
77	22441	cofactor binding	molecular_function	GO:0048037
77	2290	catalytic activity	molecular_function	GO:0003824
77	3708	binding	molecular_function	GO:0005488
77	6489	gluconate 2-dehydrogenase activity	molecular_function	GO:0008873
77	6491	gluconate dehydrogenase activity	molecular_function	GO:0008875
78	3642	sugar:hydrogen symporter activity	molecular_function	GO:0005351
78	6276	carbohydrate transport	biological_process	GO:0008643
78	9320	membrane	cellular_component	GO:0016020
78	3546	transporter activity	molecular_function	GO:0005215
78	4927	transport	biological_process	GO:0006810
78	9321	integral to membrane	cellular_component	GO:0016021
78	6356	L-arabinose isomerase activity	molecular_function	GO:0008733
79	2888	monooxygenase activity	molecular_function	GO:0004497
79	3721	iron ion binding	molecular_function	GO:0005506
79	4283	electron transport	biological_process	GO:0006118
79	12251	heme binding	molecular_function	GO:0020037
79	2976	peroxidase activity	molecular_function	GO:0004601
79	5077	response to oxidative stress	biological_process	GO:0006979
83	4283	electron transport	biological_process	GO:0006118
83	9710	oxidoreductase activity	molecular_function	GO:0016491
83	21026	polyamine oxidase activity	molecular_function	GO:0046592
86	6075	acyltransferase activity	molecular_function	GO:0008415
86	9940	transferase activity	molecular_function	GO:0016740
87	6667	biosynthetic process	biological_process	GO:0009058
88	3737	GTP binding	molecular_function	GO:0005525
