Protein,Prediction,SP(Sec/SPI),OTHER,CS Position
NCU10129T0,OTHER,0.001741,0.998259,
NCU09901T0,OTHER,0.001,0.999,
NCU09903T0,OTHER,0.005508,0.994492,
NCU11134T0,OTHER,0.000999,0.999001,
NCU09904T0,OTHER,0.0011099999999999999,0.99889,
NCU09906T0,OTHER,0.001452,0.998548,
NCU09907T0,OTHER,0.01067,0.9893299999999999,
NCU09908T0,OTHER,0.010143000000000001,0.989857,
NCU09909T0,OTHER,0.000277,0.9997229999999999,
NCU09910T0,OTHER,0.002579,0.9974209999999999,
NCU09911T0,OTHER,0.001328,0.9986719999999999,
NCU09912T0,OTHER,0.0011949999999999999,0.9988049999999999,
NCU09913T0,SP(Sec/SPI),0.9992620000000001,0.0007379999999999999,CS pos: 21-22. VNA-GE. Pr: 0.8275
NCU09914T0,OTHER,0.0025050000000000003,0.997495,
NCU10501T0,OTHER,0.002329,0.9976709999999999,
NCU08049T0,OTHER,0.001656,0.998344,
NCU08049T1,OTHER,0.001656,0.998344,
NCU08050T0,OTHER,0.00101,0.9989899999999999,
NCU08051T0,OTHER,0.003718,0.996282,
NCU16303T0,OTHER,0.197303,0.802697,
NCU08052T0,OTHER,0.0019100000000000002,0.9980899999999999,
NCU08053T0,OTHER,0.001661,0.998339,
NCU08054T0,OTHER,0.000713,0.999287,
NCU08055T0,OTHER,0.001704,0.998296,
NCU08056T0,OTHER,0.0025570000000000002,0.9974430000000001,
NCU08057T0,OTHER,0.0026579999999999998,0.9973420000000001,
NCU08058T0,OTHER,0.007384999999999999,0.9926149999999999,
NCU08059T0,OTHER,0.00236,0.99764,
NCU08060T0,OTHER,0.00034700000000000003,0.999653,
NCU08062T0,OTHER,0.000977,0.999023,
NCU08063T0,OTHER,0.00462,0.9953799999999999,
NCU08064T0,OTHER,0.001517,0.998483,
NCU08065T0,OTHER,0.00042,0.9995799999999999,
NCU08066T0,OTHER,0.000997,0.9990030000000001,
NCU10696T0,OTHER,0.000596,0.9994040000000001,
