#proteinId	iprId	iprDesc	domainDb	domainId	domainDesc	numHits	domainStarts	domainEnds	score
2	IPR000504	RNA recognition motif, RNP-1	HMMPfam	PF00076	RRM_1	1	111,	182,	2.8e-18
2	IPR000504	RNA recognition motif, RNP-1	HMMSmart	SM00360	no description	1	110,	183,	4.2e-17
2	IPR000504	RNA recognition motif, RNP-1	ProfileScan	PS50102	RRM	1	109,	187,	13.942
3	IPR003439	ABC transporter-like	BlastProDom	PD000006	Q08972_YEAST_Q08972;	2	588,934,	630,976,	5e-17,1e-14
3	IPR003439	ABC transporter-like	HMMPfam	PF00005	ABC_tran	2	495,740,	661,1006,	1.1e-41,3.4e-45
3	IPR000953	Chromo domain	HMMPfam	PF00385	Chromo	1	843,	895,	7.7e-13
3	IPR000953	Chromo domain	HMMSmart	SM00298	no description	1	842,	897,	3.1e-06
3	IPR003593	AAA+ ATPase, core	HMMSmart	SM00382	no description	2	494,739,	661,1007,	7.7e-09,7.6e-10
3	IPR003439	ABC transporter-like	ProfileScan	PS50893	ABC_TRANSPORTER_2	2	468,713,	685,1030,	14.279,15.293
3	IPR003439	ABC transporter-like	ScanRegExp	PS00211	ABC_TRANSPORTER_1	2	588,934,	602,948,	NA,NA
3	IPR016024	Armadillo-type fold	superfamily	SSF48371	ARM repeat	1	9,	1003,	4.8e-24
3	IPR016197	Chromo domain-like	superfamily	SSF54160	Chromo domain-like	1	825,	892,	0.001
5	IPR000757	Glycoside hydrolase, family 16	HMMPfam	PF00722	Glyco_hydro_16	1	164,	395,	2.4e-07
5	IPR008985	Concanavalin A-like lectin/glucanase	superfamily	SSF49899	Concanavalin A-like lectins/glucanases	1	110,	469,	6.8e-60
6	IPR001173	Glycosyl transferase, family 2	HMMPfam	PF00535	Glycos_transf_2	1	495,	585,	7.1e-05
9	IPR001734	Na+/solute symporter	HMMPfam	PF00474	SSF	1	57,	474,	6.9e-07
9	IPR001734	Na+/solute symporter	HMMTigr	TIGR00813	sss: transporter, solute:sodium symporter (S	1	57,	476,	1.7e-66
9	IPR001734	Na+/solute symporter	ProfileScan	PS50283	NA_SOLUT_SYMP_3	1	23,	488,	34.595
9	IPR016196	MFS general substrate transporter	superfamily	SSF103473	MFS general substrate transporter	1	406,	575,	0.0031
10	IPR010730	Heterokaryon incompatibility	HMMPfam	PF06985	HET	1	315,	470,	2.7e-23
11	IPR004789	Acetolactate synthase, small subunit	BlastProDom	PD002844	Q6K1X7_EEEEE_Q6K1X7;	1	9,	81,	0.005
11	IPR004810	Formyltetrahydrofolate deformylase	FPrintScan	PR01575	FFH4HYDRLASE	6	11,43,92,114,238,260,	37,55,114,141,260,285,	4.5e-48,4.5e-48,4.5e-48,4.5e-48,4.5e-48,4.5e-48
11	IPR002376	Formyl transferase, N-terminal	HMMPfam	PF00551	Formyl_trans_N	1	91,	268,	3.1e-39
11	IPR002912	Amino acid-binding ACT	HMMPfam	PF01842	ACT	1	9,	76,	5.3e-08
