# SignalP-5.0	Organism: Eukarya	Timestamp: 20200731043944
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
Cre38.g759997.t1.1	OTHER	0.000797	0.999203	
Cre08.g363350.t1.1	OTHER	0.004504	0.995496	
Cre08.g379050.t1.1	OTHER	0.001537	0.998463	
Cre08.g364751.t1.1	OTHER	0.001419	0.998581	
Cre08.g372000.t1.2	OTHER	0.000526	0.999474	
Cre08.g378150.t1.1	OTHER	0.001474	0.998526	
Cre08.g358567.t1.1	OTHER	0.000238	0.999762	
Cre08.g358567.t2.1	OTHER	0.000238	0.999762	
Cre08.g373352.t1.1	OTHER	0.016622	0.983378	
Cre08.g360700.t1.1	OTHER	0.000327	0.999673	
Cre08.g374850.t1.1	OTHER	0.002658	0.997342	
Cre08.g358459.t1.2	OTHER	0.011903	0.988097	
Cre08.g361063.t1.2	OTHER	0.000975	0.999025	
Cre08.g367700.t1.1	SP(Sec/SPI)	0.521646	0.478354	CS pos: 29-30. TAA-GA. Pr: 0.2016
Cre08.g375200.t1.2	OTHER	0.001125	0.998875	
Cre08.g375200.t2.1	OTHER	0.001125	0.998875	
Cre08.g368550.t1.1	OTHER	0.001058	0.998942	
Cre08.g383450.t1.1	OTHER	0.002435	0.997565	
Cre08.g378601.t1.1	OTHER	0.003156	0.996844	
Cre08.g371200.t1.2	OTHER	0.000898	0.999102	
Cre08.g384850.t1.1	OTHER	0.000474	0.999526	
Cre08.g361925.t1.1	OTHER	0.000711	0.999289	
Cre08.g367000.t1.2	OTHER	0.000908	0.999092	
Cre08.g373436.t1.1	OTHER	0.003700	0.996300	
Cre08.g358534.t1.1	OTHER	0.040451	0.959549	
Cre08.g370250.t1.2	OTHER	0.008878	0.991122	
Cre08.g370250.t2.1	OTHER	0.008878	0.991122	
Cre08.g358582.t1.1	OTHER	0.000434	0.999566	
Cre08.g363283.t1.1	OTHER	0.003161	0.996839	
Cre08.g362400.t1.1	OTHER	0.183723	0.816277	
Cre08.g382350.t1.2	OTHER	0.000733	0.999267	
Cre08.g369600.t1.1	OTHER	0.000825	0.999175	
Cre08.g376650.t1.2	SP(Sec/SPI)	0.953684	0.046316	CS pos: 22-23. GLA-IL. Pr: 0.7051
Cre08.g366550.t1.1	OTHER	0.000525	0.999475	
Cre08.g384355.t1.1	OTHER	0.000870	0.999130	
Cre08.g359051.t1.1	OTHER	0.001187	0.998813	
Cre08.g378100.t1.1	OTHER	0.001050	0.998950	
Cre08.g359800.t1.2	OTHER	0.001029	0.998971	
Cre08.g382476.t1.1	OTHER	0.001450	0.998550	
Cre08.g371533.t1.1	OTHER	0.002207	0.997793	
Cre08.g366650.t1.1	OTHER	0.000413	0.999587	
Cre08.g377800.t1.1	OTHER	0.002762	0.997238	
Cre08.g370116.t1.1	OTHER	0.000853	0.999147	
Cre08.g375676.t1.1	OTHER	0.000966	0.999034	
Cre08.g374100.t1.1	OTHER	0.002223	0.997777	
Cre08.g374100.t2.1	OTHER	0.002116	0.997884	
Cre08.g371500.t1.1	OTHER	0.048456	0.951544	
Cre08.g383702.t1.1	OTHER	0.003659	0.996341	
Cre08.g365851.t1.1	OTHER	0.000429	0.999571	
Cre08.g383250.t1.2	OTHER	0.002218	0.997782	
