#proteinId	gotermId	goName	gotermType	goAcc
2	2175	nucleic acid binding	molecular_function	GO:0003676
3	586	chromatin	cellular_component	GO:0000785
3	2180	chromatin binding	molecular_function	GO:0003682
3	3838	nucleus	cellular_component	GO:0005634
3	4483	chromatin assembly or disassembly	biological_process	GO:0006333
3	3736	ATP binding	molecular_function	GO:0005524
3	10082	ATPase activity	molecular_function	GO:0016887
3	162	nucleotide binding	molecular_function	GO:0000166
3	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
3	3708	binding	molecular_function	GO:0005488
5	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
5	4143	carbohydrate metabolic process	biological_process	GO:0005975
9	3546	transporter activity	molecular_function	GO:0005215
9	4927	transport	biological_process	GO:0006810
9	9320	membrane	cellular_component	GO:0016020
11	6667	biosynthetic process	biological_process	GO:0009058
11	9942	hydroxymethyl-, formyl- and related transferase activity	molecular_function	GO:0016742
11	5830	metabolic process	biological_process	GO:0008152
11	9805	amino acid binding	molecular_function	GO:0016597
11	2432	acetolactate synthase activity	molecular_function	GO:0003984
11	6691	branched chain family amino acid biosynthetic process	biological_process	GO:0009082
11	4351	'de novo' IMP biosynthetic process	biological_process	GO:0006189
11	6480	formyltetrahydrofolate deformylase activity	molecular_function	GO:0008864
12	8851	tetracycline:hydrogen antiporter activity	molecular_function	GO:0015520
12	9211	tetracycline transport	biological_process	GO:0015904
12	9321	integral to membrane	cellular_component	GO:0016021
12	21106	response to antibiotic	biological_process	GO:0046677
12	3546	transporter activity	molecular_function	GO:0005215
12	4927	transport	biological_process	GO:0006810
14	5765	N-acetyltransferase activity	molecular_function	GO:0008080
14	5830	metabolic process	biological_process	GO:0008152
15	2196	transcription factor activity	molecular_function	GO:0003700
15	3838	nucleus	cellular_component	GO:0005634
15	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
15	5939	zinc ion binding	molecular_function	GO:0008270
16	2196	transcription factor activity	molecular_function	GO:0003700
16	3838	nucleus	cellular_component	GO:0005634
16	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
16	5939	zinc ion binding	molecular_function	GO:0008270
17	2196	transcription factor activity	molecular_function	GO:0003700
17	3838	nucleus	cellular_component	GO:0005634
17	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
17	5939	zinc ion binding	molecular_function	GO:0008270
18	5830	metabolic process	biological_process	GO:0008152
18	9710	oxidoreductase activity	molecular_function	GO:0016491
18	10964	salicylate 1-monooxygenase activity	molecular_function	GO:0018658
20	5747	chitin binding	molecular_function	GO:0008061
21	3546	transporter activity	molecular_function	GO:0005215
21	4927	transport	biological_process	GO:0006810
21	9320	membrane	cellular_component	GO:0016020
22	2246	actin binding	molecular_function	GO:0003779
22	3827	intracellular	cellular_component	GO:0005622
23	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
23	4143	carbohydrate metabolic process	biological_process	GO:0005975
23	6082	beta-glucosidase activity	molecular_function	GO:0008422
24	2196	transcription factor activity	molecular_function	GO:0003700
24	3838	nucleus	cellular_component	GO:0005634
24	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
24	19030	sequence-specific DNA binding	molecular_function	GO:0043565
24	21401	protein dimerization activity	molecular_function	GO:0046983
25	3642	sugar:hydrogen symporter activity	molecular_function	GO:0005351
25	6993	phosphoenolpyruvate-dependent sugar phosphotransferase system	biological_process	GO:0009401
25	3736	ATP binding	molecular_function	GO:0005524
25	10082	ATPase activity	molecular_function	GO:0016887
25	162	nucleotide binding	molecular_function	GO:0000166
25	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
25	4927	transport	biological_process	GO:0006810
25	9321	integral to membrane	cellular_component	GO:0016021
25	18135	ATPase activity, coupled to transmembrane movement of substances	molecular_function	GO:0042626
26	5830	metabolic process	biological_process	GO:0008152
26	9710	oxidoreductase activity	molecular_function	GO:0016491
26	2290	catalytic activity	molecular_function	GO:0003824
26	3708	binding	molecular_function	GO:0005488
26	2723	3-oxoacyl-[acyl-carrier-protein] reductase activity	molecular_function	GO:0004316
27	9320	membrane	cellular_component	GO:0016020
27	4760	fatty acid metabolic process	biological_process	GO:0006631
27	9710	oxidoreductase activity	molecular_function	GO:0016491
27	2290	catalytic activity	molecular_function	GO:0003824
27	3708	binding	molecular_function	GO:0005488
27	5830	metabolic process	biological_process	GO:0008152
29	12251	heme binding	molecular_function	GO:0020037
29	21336	transition metal ion binding	molecular_function	GO:0046914
29	4283	electron transport	biological_process	GO:0006118
29	9710	oxidoreductase activity	molecular_function	GO:0016491
30	2888	monooxygenase activity	molecular_function	GO:0004497
30	3721	iron ion binding	molecular_function	GO:0005506
30	4283	electron transport	biological_process	GO:0006118
30	12251	heme binding	molecular_function	GO:0020037
30	23314	leukotriene-B4 20-monooxygenase activity	molecular_function	GO:0050051
31	2196	transcription factor activity	molecular_function	GO:0003700
31	3838	nucleus	cellular_component	GO:0005634
31	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
31	5939	zinc ion binding	molecular_function	GO:0008270
31	2176	DNA binding	molecular_function	GO:0003677
31	4499	transcription	biological_process	GO:0006350
31	3058	cAMP-dependent protein kinase activity	molecular_function	GO:0004691
31	4123	cAMP-dependent protein kinase complex	cellular_component	GO:0005952
32	2365	DNA ligase (ATP) activity	molecular_function	GO:0003910
36	3546	transporter activity	molecular_function	GO:0005215
36	3708	binding	molecular_function	GO:0005488
36	4927	transport	biological_process	GO:0006810
40	2227	structural constituent of ribosome	molecular_function	GO:0003735
40	3827	intracellular	cellular_component	GO:0005622
40	4025	ribosome	cellular_component	GO:0005840
40	4556	translation	biological_process	GO:0006412
41	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
41	4143	carbohydrate metabolic process	biological_process	GO:0005975
41	18471	licheninase activity	molecular_function	GO:0042972
42	3727	protein binding	molecular_function	GO:0005515
42	9320	membrane	cellular_component	GO:0016020
42	9480	vesicle-mediated transport	biological_process	GO:0016192
46	3724	calcium ion binding	molecular_function	GO:0005509
49	7554	cell surface	cellular_component	GO:0009986
56	4248	substituted mannan metabolic process	biological_process	GO:0006080
56	10154	mannan endo-1,4-beta-mannosidase activity	molecular_function	GO:0016985
64	9292	ATP synthesis coupled proton transport	biological_process	GO:0015986
64	9691	proton-transporting two-sector ATPase complex	cellular_component	GO:0016469
64	21355	hydrogen ion transporting ATP synthase activity, rotational mechanism	molecular_function	GO:0046933
