# SignalP-5.0	Organism: Eukarya	Timestamp: 20200731050505
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
Cre15.g634925.t2.1	OTHER	0.012542	0.987458	
Cre15.g635350.t1.2	OTHER	0.004081	0.995919	
Cre15.g635350.t2.1	OTHER	0.004081	0.995919	
Cre15.g635350.t3.1	OTHER	0.004081	0.995919	
Cre15.g640450.t1.2	OTHER	0.000746	0.999254	
Cre15.g640250.t1.2	OTHER	0.007167	0.992833	
Cre15.g640250.t2.1	OTHER	0.007167	0.992833	
Cre15.g635300.t1.1	OTHER	0.002064	0.997936	
Cre15.g636100.t1.1	OTHER	0.000970	0.999030	
Cre15.g636100.t2.1	OTHER	0.000970	0.999030	
Cre15.g636100.t3.1	OTHER	0.000863	0.999137	
Cre15.g639300.t1.1	OTHER	0.005078	0.994922	
Cre15.g635400.t1.2	SP(Sec/SPI)	0.972373	0.027627	CS pos: 26-27. AAA-KP. Pr: 0.4066
Cre15.g635000.t1.1	SP(Sec/SPI)	0.910413	0.089587	CS pos: 19-20. SSA-AR. Pr: 0.4819
Cre43.g760647.t1.1	OTHER	0.013606	0.986394	
Cre43.g760497.t1.1	OTHER	0.000416	0.999584	
Cre43.g760597.t1.1	OTHER	0.001879	0.998121	
Cre43.g760547.t1.1	OTHER	0.001297	0.998703	
Cre25.g756247.t1.1	OTHER	0.001229	0.998771	
Cre25.g756447.t1.1	OTHER	0.002178	0.997822	
Cre25.g756397.t1.1	OTHER	0.005820	0.994180	
Cre25.g756397.t2.1	OTHER	0.001856	0.998144	
Cre25.g756297.t1.1	OTHER	0.000970	0.999030	
Cre25.g756497.t1.1	OTHER	0.010092	0.989908	
Cre25.g756197.t1.1	OTHER	0.053771	0.946229	
Cre25.g756097.t1.1	OTHER	0.001506	0.998494	
Cre25.g756347.t1.1	OTHER	0.001672	0.998328	
Cre25.g756147.t1.1	OTHER	0.011506	0.988494	
Cre18.g749497.t1.1	OTHER	0.002092	0.997908	
Cre18.g748497.t1.1	OTHER	0.003294	0.996706	
Cre18.g748347.t1.1	OTHER	0.002742	0.997258	
Cre18.g749647.t1.1	OTHER	0.001356	0.998644	
Cre18.g748947.t1.1	OTHER	0.122292	0.877708	
Cre18.g749197.t1.1	SP(Sec/SPI)	0.790956	0.209044	CS pos: 20-21. VHT-IL. Pr: 0.4991
Cre18.g749997.t1.1	OTHER	0.002745	0.997255	
Cre18.g749297.t1.1	OTHER	0.001345	0.998655	
Cre18.g749797.t2.1	OTHER	0.008340	0.991660	
Cre18.g749797.t1.1	OTHER	0.008340	0.991660	
Cre18.g749097.t1.1	OTHER	0.030102	0.969898	
Cre18.g748197.t1.1	OTHER	0.026868	0.973132	
Cre18.g749847.t1.1	OTHER	0.200350	0.799650	
Cre18.g749847.t2.1	OTHER	0.200350	0.799650	
Cre18.g750047.t1.1	SP(Sec/SPI)	0.977899	0.022101	CS pos: 29-30. AHG-QT. Pr: 0.7699
Cre18.g748797.t1.1	OTHER	0.022572	0.977428	
Cre18.g748797.t2.1	OTHER	0.022572	0.977428	
Cre18.g749547.t1.1	OTHER	0.000460	0.999540	
Cre18.g749697.t1.1	OTHER	0.001527	0.998473	
Cre18.g748697.t1.1	OTHER	0.007237	0.992763	
Cre18.g749397.t1.1	OTHER	0.000711	0.999289	
Cre18.g748297.t1.1	OTHER	0.003383	0.996617	
Cre18.g749247.t1.1	OTHER	0.001345	0.998655	
Cre18.g748397.t1.1	OTHER	0.030906	0.969094	
Cre18.g749947.t1.1	OTHER	0.002215	0.997785	
Cre18.g748447.t1.1	OTHER	0.000385	0.999615	
Cre18.g748597.t1.1	OTHER	0.005118	0.994882	
Cre18.g749147.t1.1	OTHER	0.213379	0.786621	
Cre18.g748247.t1.1	OTHER	0.000354	0.999646	
Cre18.g748997.t1.1	OTHER	0.006040	0.993960	
Cre18.g749747.t1.1	OTHER	0.001237	0.998763	
Cre18.g748747.t1.1	OTHER	0.003639	0.996361	
Cre18.g748897.t1.1	OTHER	0.006275	0.993725	
